"Empresa:","ITASUL TRANSPORTE E LOGISTICA LTDA","","","","","","","","","","","Folha:","","0001"
"C.N.P.J.:","42.497.558/0001-74","","","","","","","","","","","Número livro:","","0004"
"Período:","01/01/2025 - 31/12/2025","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"BALANCETE","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Código","Classificação","","Descrição da conta","","","","Saldo Anterior","","Débito","","Crédito","","Saldo Atual",""
"9152792","2.1.01.01.0001","","            GP PNEUS LTDA","","","","0.00","","0.00","","15,407.20","","15,407.20c",""
"9152732","2.1.01.01.0001","","            HIPER TRUCK PARTS COMERCIO AUTOMOTIVO LTDA","","","","0.00","","7,640.86","","7,640.86","","0.00",""
"9152803","2.1.01.01.0001","","            IMPLEMENT SOLUCOES EM ACO LTDA","","","","0.00","","500.00","","2,466.00","","1,966.00c",""
"9152785","2.1.01.01.0001","","            INCLITOP SOLUCOES INTELIGENTES LTDA","","","","0.00","","19.22","","19.22","","0.00",""
"9152777","2.1.01.01.0001","","            J L CARDOZO MAT CONST","","","","0.00","","0.00","","101.65","","101.65c",""
"9152780","2.1.01.01.0001","","            JARACATIA DISTRIBUIDORA LTDA","","","","0.00","","4,187.35","","6,090.40","","1,903.05c",""
"9152693","2.1.01.01.0001","","            JARACATIA REVENDA DE COMBUSTIVEIS E DERI","","","","395,925.35c","","99,310.00","","0.00","","296,615.35c",""
"9152771","2.1.01.01.0001","","            M E COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA","","","","0.00","","2,000.00","","2,000.00","","0.00",""
"9152790","2.1.01.01.0001","","            MECANICA SAO JOSE","","","","0.00","","0.00","","36,387.30","","36,387.30c",""
"9152744","2.1.01.01.0001","","            O J DOS SANTOS  ACESSORIOS  ME","","","","0.00","","180.00","","180.00","","0.00",""
"9152761","2.1.01.01.0001","","            PACHECO PETRO LTDA","","","","0.00","","0.00","","3,800.01","","3,800.01c",""
"9152763","2.1.01.01.0001","","            PAU DE VELA COMERCIO E SERVICOS LTDA","","","","0.00","","0.00","","3,698.41","","3,698.41c",""
"9152793","2.1.01.01.0001","","            PERFILADOS RIO DOCE LTDA.","","","","0.00","","12,536.64","","12,536.64","","0.00",""
"9152783","2.1.01.01.0001","","            PLACAS TOP LTDA","","","","0.00","","0.00","","136.81","","136.81c",""
"9152757","2.1.01.01.0001","","            POSTO BOM JESUS DE CARAIBAS LTDA","","","","0.00","","0.00","","2,000.03","","2,000.03c",""
"9152773","2.1.01.01.0001","","            POSTO DE COMBUSTIVEIS VR LTDA","","","","0.00","","3,500.00","","3,500.00","","0.00",""
"9063431","2.1.01.01.0001","","            POSTO DIAMANTE NEGRO LTDA","","","","0.00","","4,459.97","","4,459.97","","0.00",""
"9152756","2.1.01.01.0001","","            POSTO JR FAISAO LTDA  FILIAL","","","","0.00","","0.00","","1,999.76","","1,999.76c",""
"9152759","2.1.01.01.0001","","            POSTO MAIS BALSAS LTDA","","","","0.00","","0.00","","6,034.38","","6,034.38c",""
"9152788","2.1.01.01.0001","","            POSTO PINDA DUTRA LTDA","","","","0.00","","8,579.62","","11,560.61","","2,980.99c",""
"024868","2.1.01.01.0001","","            POSTO SANTA GEMA LTDA","","","","0.00","","240.64","","240.64","","0.00",""
"9152786","2.1.01.01.0001","","            POSTO SOL DA DUTRA LTDA","","","","0.00","","2,705.37","","2,705.37","","0.00",""
"022866","2.1.01.01.0001","","            POSTO SOTURNO LTDA","","","","225,438.33c","","78,588.61","","47,748.12","","194,597.84c",""
"9152766","2.1.01.01.0001","","            POSTO TREVO JB LTDA","","","","0.00","","0.00","","4,350.05","","4,350.05c",""
"9152677","2.1.01.01.0001","","            POSTO ZUILTON III","","","","0.00","","499.98","","13,559.49","","13,059.51c",""
"9152784","2.1.01.01.0001","","            R & R COMERCIO DE LONAS LTDA","","","","0.00","","3,275.00","","3,275.00","","0.00",""
"9152765","2.1.01.01.0001","","            REDE DE POSTOS MARAJO CARIRI 2 LTDA","","","","0.00","","0.00","","3,856.85","","3,856.85c",""
"9152762","2.1.01.01.0001","","            REDE HG COMBUSTIVEIS LTDA","","","","0.00","","0.00","","3,529.02","","3,529.02c",""
"9152772","2.1.01.01.0001","","            REDE JG CALDEIRAO GRANDE COMERCIO DE COMBUSTIVEIS E LUBRIFIC","","","","0.00","","0.00","","1,530.09","","1,530.09c",""
"9152751","2.1.01.01.0001","","            RM COMERCIO DE PNEUS LTDA - CACHOEIRO","","","","0.00","","3,102.68","","19,556.00","","16,453.32c",""
"9152796","2.1.01.01.0001","","            RODOPOSTO BANDEIRANTES JUNDIAI","","","","0.00","","289.50","","289.50","","0.00",""
"022887","2.1.01.01.0001","","            SANTA CLARA COMERCIO DE COMBUSTIVEIS LTD","","","","64,893.93c","","25,980.00","","0.00","","38,913.93c",""
"9152701","2.1.01.01.0001","","            SANTA ROSA DERIVADOS DE PETROLEO LTDA","","","","324,473.65c","","136,834.07","","89,260.60","","276,900.18c",""
"9152729","2.1.01.01.0001","","            SENNA PAPELARIA LTDA - EPP","","","","0.00","","0.00","","397.70","","397.70c",""
"9152800","2.1.01.01.0001","","            SERVICELOGIC.COM SOLUCOES EM TECNOLOGIA LTDA","","","","0.00","","0.00","","1,232.00","","1,232.00c",""
"9152712","2.1.01.01.0001","","            SOUZA COMERCIO DE IMPLEMENTOS RODOVIARIO","","","","53,276.23c","","0.00","","0.00","","53,276.23c",""
